id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C1-PRE-0233,C1,Preposicions,test,El carrer va ser tallat ___ la policia.,per,per a,de,amb,A,Complement agent: per.,Material original
C1-COR-0264,C1,Correcció d’errades,test,"Corregeix: “En quant a la matrícula, cal revisar el termini”.","Pel que fa a la matrícula, cal revisar el termini.","En quant a la matrícula, cal revisar el termini",La frase és correcta tal com està.,No cal cap canvi.,A,Forma correcta: quant a / pel que fa a.,Material original
C1-APO-0090,C1,Apostrofació i contraccions,test,Tria la forma més adequada.,de hora,d’hora,d hora,dora,B,De s’apostrofa davant vocal o h.,Material original
C1-PUN-0292,C1,Puntuació,test,Tria la puntuació correcta.,El termini acaba demà: per tant convé inscriure-s’hi hui.,"El termini acaba demà, per tant convé inscriure-s’hi hui.",El termini acaba demà per tant convé inscriure-s’hi hui.,"El termini acaba demà; per tant, convé inscriure-s’hi hui.",D,El punt i coma separa oracions relacionades; per tant porta coma.,Material original
C1-FRA-0204,C1,Fraseologia,test,Tria la locució adequada.,sempre,mai,a la força,de tant en tant,D,De vez en cuando és de tant en tant.,Material original
C1-VER-0105,C1,Verbs,test,"Si tu ___ més exercici, et trobaries millor.",faig,faça,fera,faria,C,Imperfet de subjuntiu: fera.,Material original
C1-VOC-0370,C1,Vocabulari temàtic,test,Com diries “deuda” en valencià?,deute,recerca,capçalera,aclariment,A,“deuda” correspon a “deute”.,Material original
C1-VOC-0374,C1,Vocabulari temàtic,test,Com diries “solicitud” en valencià?,queixa,ajornar,sol·licitud,deute,C,“solicitud” correspon a “sol·licitud”.,Material original
C1-LEX-0176,C1,Lèxic,test,Tria l’equivalent més adequat.,medi sempre,mitjà,mig sempre,medio,B,Medio de comunicación és mitjà.,Material original
C1-PRO-0138,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,Vaig-hi cada estiu.,Hi vaig cada estiu.,En vaig cada estiu.,Ho vaig cada estiu.,B,Complement de lloc introduït per a/en: hi.,Material original
C1-ACC-0021,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,agraïà,agraïa,agraia,agraía,B,Agraïa porta dièresi per marcar el hiat.,Material original
C1-ACC-0024,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,diùrn,díurn,diürn,diurn,C,Diürn porta dièresi.,Material original
C1-ORT-0074,C1,Ortografia,test,Quina opció està escrita correctament?,escisió,excisió,escició,escissió,D,Escissió porta ss.,Material original
C1-PRO-0140,C1,Pronoms febles,test,Tria la substitució pronominal correcta.,No li parle mai.,No ho parle mai.,No en parle mai.,No el parle mai.,C,Parlar de + tema: en.,Material original
C1-FRA-0205,C1,Fraseologia,test,Tria la locució adequada.,a medio plazo,a mitjan termini,a termini mig,al mig plaç,B,A medio plazo: a mitjan termini.,Material original
C1-REG-0281,C1,Registre i adequació,test,Tria l’opció més adequada per a un registre formal.,Necessite que em feu cas ja.,A vore si ho arregleu.,Sol·licite que es revise la meua inscripció.,Vull que mireu lo meu.,C,Registre administratiu formal.,Material original
