id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-COM-0297,B2,Comprensió escrita,test,"Text: Una associació veïnal ha posat en marxa una campanya per reduir l’ús de plàstics d’un sol ús al mercat. La iniciativa inclou bosses reutilitzables, cartells informatius i tallers breus per a comerciants. Segons l’organització, el canvi serà gradual i voluntari.

Què vol reduir la campanya?",El preu dels productes,El nombre de comerciants,L’ús de plàstics d’un sol ús,Els horaris del mercat,C,És la finalitat explícita del text.,Material original
B2-VOC-0359,B2,Vocabulari temàtic,test,Com diries “lluvia” en valencià?,núvol,cadira,finestra,pluja,D,“lluvia” correspon a “pluja”.,Material original
B2-VOC-0346,B2,Vocabulari temàtic,test,Com diries “mesa” en valencià?,forqueta,vesprada,faena,taula,D,“mesa” correspon a “taula”.,Material original
B2-FRA-0200,B2,Fraseologia,test,Tria la locució adequada.,fer tard,fer ombra,criticar,fer costat,D,Fer costat és donar suport.,Material original
B2-COM-0295,B2,Comprensió escrita,test,"Text: L’Ajuntament ha anunciat que, a partir de setembre, ampliarà l’horari de la biblioteca municipal. La mesura respon a les peticions de l’alumnat, que demanava més temps d’estudi durant les vesprades. També s’habilitarà una sala silenciosa i es reforçarà el préstec digital.

Qui havia demanat més temps d’estudi?",La policia local,Les editorials,El personal de neteja,L’alumnat,D,El text diu que la mesura respon a les peticions de l’alumnat.,Material original
B2-ORT-0402,B2,Ortografia,test,Quina opció està escrita correctament?,pasar,passar,pazar,paçar,B,Passar porta ss.,Material original
B2-ORT-0400,B2,Ortografia,test,Quina opció està escrita correctament?,caza,caça,casa,cassa,C,Casa amb s sonora.,Material original
B2-COM-0298,B2,Comprensió escrita,test,"Text: Una associació veïnal ha posat en marxa una campanya per reduir l’ús de plàstics d’un sol ús al mercat. La iniciativa inclou bosses reutilitzables, cartells informatius i tallers breus per a comerciants. Segons l’organització, el canvi serà gradual i voluntari.

Quina activitat s’ofereix als comerciants?",Tallers breus,Inspeccions obligatòries,Excursions,Cursos de cuina,A,El text esmenta tallers breus per a comerciants.,Material original
B2-ACC-0006,B2,Accentuació i dièresi,test,Tria la forma escrita correctament.,paginà,pagina,pàgina,página,C,Pàgina és esdrúixola.,Material original
B2-FRA-0198,B2,Fraseologia,test,Tria la locució adequada.,de gom a gom,de pressa,a poc a poc,de sobte,C,“Poco a poco” és a poc a poc.,Material original
B2-ORT-0045,B2,Ortografia,test,Quina opció està escrita correctament?,adreça,adressa,adreçà,adreca,A,Adreça porta ce trencada.,Material original
B2-VER-0093,B2,Verbs,test,Jo ___ molta faena hui.,tindre,ting,tenc,tinc,D,Present d’indicatiu: jo tinc.,Material original
B2-VOC-0352,B2,Vocabulari temàtic,test,Com diries “zanahoria” en valencià?,iaio,faena,carlota,cadira,C,“zanahoria” correspon a “carlota”.,Material original
B2-ORT-0046,B2,Ortografia,test,Quina opció està escrita correctament?,peça,peca,peçà,pessa,A,Peça porta ce trencada.,Material original
B2-LEX-0168,B2,Lèxic,test,Tria l’equivalent més adequat.,cartel,rètol sempre,cartell,cartó,C,Cartel és cartell/rètol segons context.,Material original
B2-COM-0299,B2,Comprensió escrita,test,"Text: Una associació veïnal ha posat en marxa una campanya per reduir l’ús de plàstics d’un sol ús al mercat. La iniciativa inclou bosses reutilitzables, cartells informatius i tallers breus per a comerciants. Segons l’organització, el canvi serà gradual i voluntari.

Com serà el canvi segons l’associació?",Car i sancionador,Gradual i voluntari,Immediat i obligatori,Secret i temporal,B,S’indica en l’última frase.,Material original
B2-PUN-0289,B2,Puntuació,test,Tria la puntuació correcta.,"Si, plou no eixirem.","Si plou, no eixirem.",Si plou; no eixirem.,Si plou no eixirem.,B,Subordinada condicional inicial amb coma.,Material original
B2-VER-0096,B2,Verbs,test,Ahir ___ al mercat.,aní vaig,vaig a anar,vaig anar,he anat ahir,C,El passat perifràstic: vaig anar.,Material original
B2-COR-0263,B2,Correcció d’errades,test,Corregeix: “La reunió començarà sobre les nou” si vols dir hora exacta.,La reunió començarà a les nou.,La reunió començarà sobre les nou,La frase és correcta tal com està.,No cal cap canvi.,A,Per hora concreta: a les nou.,Material original
B2-ORT-0051,B2,Ortografia,test,Quina opció està escrita correctament?,camviar,cambiar,canbiar,canviar,D,Canviar s’escriu amb v.,Material original
B2-ACC-0037,B2,Accentuació i dièresi,test,La paraula “fàcil” és...,sobreesdrúixola,aguda,esdrúixola,plana,D,"Fàcil és plana i no acaba en vocal, vocal+s, -en ni -in.",Material original
